FullName;Country;Party;EPG;Start;End;vote1;vote2;vote3
Vladimir URUTCHEV;Bulgaria;Citizens for European Development of Bulgaria;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Iliana IOTOVA;Bulgaria;Bulgarian Socialist Party;Non-attached Members;01.07.2014;16 01 2017;1;5;5
Victor BOŞTINARU;Romania;Partidul Social Democrat;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Renate WEBER;Romania;ALDE Romania;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Ramona Nicole MĂNESCU;Romania;-;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Theodor Dumitru STOLOJAN;Romania;Partidul Naţional Liberal;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Csaba SÓGOR;Romania;Uniunea Democrată Maghiară din România;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Iuliu WINKLER;Romania;Uniunea Democrată Maghiară din România;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
László TŐKÉS;Hungary;Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Andi CRISTEA;Romania;Partidul Social Democrat;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Sirpa PIETIKÄINEN;Finland;Kansallinen Kokoomus;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Elisabetta GARDINI;Italy;Forza Italia;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Jan HUITEMA;Netherlands;Volkspartij voor Vrijheid en Democratie;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Innocenzo LEONTINI;Italy;Forza Italia;Group of the European People's Party (Christian Democrats);20.08.2018;31 12 2019;0;0;0
Rachida DATI;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Nadine MORANO;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Petr MACH;Czech Republic;Strana svobodných občanů;Non-attached Members;01.07.2014;31 08 2017;2;5;5
Victor NEGRESCU;Romania;Partidul Social Democrat;Non-attached Members;01.07.2014;29 06 2017;1;2;2
Carolina PUNSET;Spain;Ciudadanos – Partido de la Ciudadanía;Group of the Alliance of Liberals and Democrats for Europe;03.02.2016;31 12 2019;0;0;0
Ulrike RODUST;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Jean-Paul DENANOT;France;Parti socialiste;Non-attached Members;01.07.2014;10 06 2018;1;2;2
Jeroen LENAERS;Netherlands;Christen Democratisch Appèl;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Viorica DĂNCILĂ;Romania;Partidul Social Democrat;Non-attached Members;01.07.2014;28 01 2018;5;2;2
Pavel SVOBODA;Czech Republic;Křesťanská a demokratická unie - Československá strana lidová;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Nessa CHILDERS;Ireland;Independent;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Helmut SCHOLZ;Germany;DIE LINKE.;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Philippe LAMBERTS;Belgium;Ecologistes Confédérés pour l'Organisation de Luttes Originales;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Eduard KUKAN;Slovakia;Independent;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Monika SMOLKOVÁ;Slovakia;SMER-Sociálna demokracia;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Boris ZALA;Slovakia;SMER-Sociálna demokracia;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Krisztina MORVAI;Hungary;-;Non-attached Members;01.07.2014;31 12 2019;4;4;4
Morten MESSERSCHMIDT;Denmark;Dansk Folkeparti;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Seán KELLY;Ireland;Fine Gael Party;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Louis MICHEL;Belgium;Mouvement Réformateur;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Marita ULVSKOG;Sweden;Arbetarepartiet- Socialdemokraterna;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Olle LUDVIGSSON;Sweden;Arbetarepartiet- Socialdemokraterna;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Anna Maria CORAZZA BILDT;Sweden;Moderaterna;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;4;4;4
Isabella LÖVIN;Sweden;Miljöpartiet de gröna;Non-attached Members;01.07.2014;02 10 2014;3;1;1
Cecilia WIKSTRÖM;Sweden;Liberalerna;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Zigmantas BALČYTIS;Lithuania;Lietuvos socialdemokratų partija;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Vilija BLINKEVIČIŪTĖ;Lithuania;Lietuvos socialdemokratų partija;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Liisa JAAKONSAARI;Finland;Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Rolandas PAKSAS;Lithuania;Partija Tvarka ir teisingumas;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;3;1;1
Algirdas SAUDARGAS;Lithuania;Tėvynės sąjunga-Lietuvos krikščionys demokratai;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;4;4;4
Waldemar TOMASZEWSKI;Lithuania;Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga;European Conservatives and Reformists Group;01.07.2014;31 12 2019;4;4;4
Viktor USPASKICH;Lithuania;Darbo partija;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;4;4;4
Bendt BENDTSEN;Denmark;Det Konservative Folkeparti;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
João FERREIRA;Portugal;Partido Comunista Português;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;3
Morten LØKKEGAARD;Denmark;Venstre, Danmarks Liberale Parti;Group of the Alliance of Liberals and Democrats for Europe;03.03.2016;31 12 2019;0;0;0
Jens ROHDE;Denmark;Det Radikale Venstre;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Evžen TOŠENOVSKÝ;Czech Republic;Občanská demokratická strana;European Conservatives and Reformists Group;01.07.2014;31 12 2019;3;2;2
Pavel POC;Czech Republic;Česká strana sociálně demokratická;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;1;2
Olga SEHNALOVÁ;Czech Republic;Česká strana sociálně demokratická;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Bas EICKHOUT;Netherlands;GroenLinks;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Barbara LOCHBIHLER;Germany;Bündnis 90/Die Grünen;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Santiago FISAS AYXELÀ;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Sven GIEGOLD;Germany;Bündnis 90/Die Grünen;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Ska KELLER;Germany;Bündnis 90/Die Grünen;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Patrick LE HYARIC;France;Front de Gauche;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Jan Philipp ALBRECHT;Germany;Bündnis 90/Die Grünen;Non-attached Members;01.07.2014;02 07 2018;3;2;1
Reinhard BÜTIKOFER;Germany;Bündnis 90/Die Grünen;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Yannick JADOT;France;Europe Écologie;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Jean-Luc MÉLENCHON;France;Front de Gauche;Non-attached Members;01.07.2014;18 06 2017;2;1;1
Michèle RIVASI;France;Europe Écologie;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
José BOVÉ;France;Europe Écologie;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;5;2;1
Arnaud DANJEAN;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Dennis de JONG;Netherlands;Socialistische Partij;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;3;1;1
Martin HÄUSLING;Germany;Bündnis 90/Die Grünen;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;5;2;1
Wim van de CAMP;Netherlands;Christen Democratisch Appèl;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Sabine VERHEYEN;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Axel VOSS;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Joachim ZELLER;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Pablo ZALBA BIDEGAIN;Spain;Partido Popular;Non-attached Members;01.07.2014;17 11 2016;1;2;2
Hermann WINKLER;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Verónica LOPE FONTAGNÉ;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Werner KUHN;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;5;5
Enrique GUERRERO SALOM;Spain;Partido Socialista Obrero Español;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Jarosław KALINOWSKI;Poland;Polskie Stronnictwo Ludowe;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Peter JAHR;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Jarosław WAŁĘSA;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Lara COMI;Italy;Forza Italia;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Róża THUN UND HOHENSTEIN;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Danuta Maria HÜBNER;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Monika HOHLMEIER;Germany;Christlich-Soziale Union in Bayern e.V.;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Danuta JAZŁOWIECKA;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Janusz ZEMKE;Poland;Sojusz Lewicy Demokratycznej - Unia Pracy;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Herbert DORFMANN;Italy;Südtiroler Volkspartei;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Marek Józef GRÓBARCZYK;Poland;Prawo i Sprawiedliwość;Non-attached Members;01.07.2014;15 11 2015;1;2;2
Elżbieta Katarzyna ŁUKACIJEWSKA;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Ryszard Antoni LEGUTKO;Poland;Prawo i Sprawiedliwość;European Conservatives and Reformists Group;01.07.2014;31 12 2019;4;4;4
Tomasz Piotr PORĘBA;Poland;Prawo i Sprawiedliwość;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Paul NUTTALL;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Teresa JIMÉNEZ-BECERRIL BARRIO;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Peter van DALEN;Netherlands;ChristenUnie;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Rosa ESTARÀS FERRAGUT;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Juan Fernando LÓPEZ AGUILAR;Spain;Partido Socialista Obrero Español;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Barbara MATERA;Italy;Forza Italia;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;4;4;4
Judith SARGENTINI;Netherlands;GroenLinks;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;3;2;1
Giovanni LA VIA;Italy;Alternativa Popolare;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;4;4;4
Marisa MATIAS;Portugal;Bloco de Esquerda;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Monica MACOVEI;Romania;Independent;European Conservatives and Reformists Group;01.07.2014;31 12 2019;5;2;2
Norica NICOLAI;Romania;ALDE Romania;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Tamás DEUTSCH;Hungary;Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Ádám KÓSA;Hungary;Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Jutta STEINRUCK;Germany;Sozialdemokratische Partei Deutschlands;Non-attached Members;01.07.2014;31 12 2017;1;2;2
Jens GEIER;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Traian UNGUREANU;Romania;Partidul Naţional Liberal;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Peter SIMON;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Petra KAMMEREVERT;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Cristian Dan PREDA;Romania;Independent;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Kerstin WESTPHAL;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Knut FLECKENSTEIN;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Ismail ERTUG;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;3;2;5
Norbert NEUSER;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Claudiu Ciprian TĂNĂSESCU;Romania;Partidul Social Democrat;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;4;4;4
Mariya GABRIEL;Bulgaria;Citizens for European Development of Bulgaria;Non-attached Members;01.07.2014;06 07 2017;1;2;2
Alain CADEC;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Thomas HÄNDEL;Germany;DIE LINKE.;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;6;6;6
Cornelia ERNST;Germany;DIE LINKE.;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Sabine LÖSING;Germany;DIE LINKE.;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;4;4;4
Cătălin Sorin IVAN;Romania;Independent;Non-attached Members;01.07.2014;31 12 2019;1;2;2
Marie-Christine VERGIAT;France;Front de Gauche;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;3
David Maria SASSOLI;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;5;5
Karima DELLI;France;Europe Écologie;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Gesine MEISSNER;Germany;Freie Demokratische Partei;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Michael THEURER;Germany;Freie Demokratische Partei;Non-attached Members;01.07.2014;23 10 2017;1;2;2
Nadja HIRSCH;Germany;Freie Demokratische Partei;Group of the Alliance of Liberals and Democrats for Europe;08.11.2017;31 12 2019;0;0;0
Frank ENGEL;Luxembourg;Parti chrétien social luxembourgeois;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Zoltán BALCZÓ;Hungary;Jobbik Magyarországért Mozgalom;Non-attached Members;01.07.2014;31 12 2019;2;1;1
Andrea COZZOLINO;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Elisabeth KÖSTINGER;Austria;Österreichische Volkspartei;Non-attached Members;01.07.2014;08 11 2017;1;2;2
Eva JOLY;France;Europe Écologie;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;5;2;1
Philippe JUVIN;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Dominique RIQUET;France;Mouvement Radical Social-Libéral;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Paolo DE CASTRO;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Roberto GUALTIERI;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
John Stuart AGNEW;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
José Manuel FERNANDES;Portugal;Partido Social Democrata;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Krišjānis KARIŅŠ;Latvia;Partija 'VIENOTĪBA';Group of the European People's Party (Christian Democrats);01.07.2014;22 01 2019;1;2;2
Paulo RANGEL;Portugal;Partido Social Democrata;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Takis HADJIGEORGIOU;Cyprus;Progressive Party of Working People - Left - New Forces;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;5;3;3
Tanja FAJON;Slovenia;Socialni demokrati;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
David CAMPBELL BANNERMAN;United Kingdom;Conservative Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Sergio Gaetano COFFERATI;Italy;Sinistra Italiana;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Silvia COSTA;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Derek VAUGHAN;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Emma McCLARKIN;United Kingdom;Conservative Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Kay SWINBURNE;United Kingdom;Conservative Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Izaskun BILBAO BARANDICA;Spain;Partido Nacionalista Vasco;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Maurice PONGA;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Birgit SIPPEL;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Milan ZVER;Slovenia;Slovenska demokratska stranka;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Sandra KALNIETE;Latvia;Partija 'VIENOTĪBA';Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Gabriel MATO;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Johannes Cornelis van BAALEN;Netherlands;Volkspartij voor Vrijheid en Democratie;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;1;2
Gerben-Jan GERBRANDY;Netherlands;Democraten 66;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Marietje SCHAAKE;Netherlands;Democraten 66;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;5;1
Gilles PARGNEAUX;France;Parti socialiste;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Vicky FORD;United Kingdom;Conservative Party;Non-attached Members;01.07.2014;08 06 2017;2;2;2
Diane DODDS;United Kingdom;Democratic Unionist Party;Non-attached Members;01.07.2014;31 12 2019;2;2;2
Sylvie GUILLAUME;France;Parti socialiste;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Catherine BEARDER;United Kingdom;Liberal Democrats;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Julie GIRLING;United Kingdom;Conservative Party;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;2;2;2
Ashley FOX;United Kingdom;Conservative Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
William (The Earl of) DARTMOUTH;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;4;4;4
Nuno MELO;Portugal;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Franz OBERMAYR;Austria;Freiheitliche Partei Österreichs;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;5;1;2
Eider GARDIAZABAL RUBIAL;Spain;Partido Socialista Obrero Español;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Lorenzo FONTANA;Italy;Lega Nord;Non-attached Members;11.07.2014;22 03 2018;2;1;3
Giancarlo SCOTTÀ;Italy;Lega Nord;Europe of Nations and Freedom Group;17.04.2018;31 12 2019;0;0;0
Burkhard BALZ;Germany;Christlich Demokratische Union Deutschlands;Non-attached Members;01.07.2014;31 08 2018;1;2;2
Evelyn REGNER;Austria;Sozialdemokratische Partei Österreichs;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Karin KADENBACH;Austria;Sozialdemokratische Partei Österreichs;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Ulrike LUNACEK;Austria;Die Grünen - Die Grüne Alternative;Non-attached Members;01.07.2014;08 11 2017;2;2;1
Ivo VAJGL;Slovenia;DeSUS - Demokratična Stranka Upokojencev Slovenije;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;3;2;2
Robert ROCHEFORT;France;Mouvement Démocrate;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;5;2;2
Ivari PADAR;Estonia;Sotsiaaldemokraatlik Erakond;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;06.11.2017;31 12 2019;0;0;0
Guy VERHOFSTADT;Belgium;Open Vlaamse Liberalen en Democraten;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Ramón JÁUREGUI ATONDO;Spain;Partido Socialista Obrero Español;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Indrek TARAND;Estonia;Sõltumatu;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;2
Sylvie GOULARD;France;Mouvement Démocrate;Non-attached Members;01.07.2014;17 05 2017;1;2;2
Francisco SOSA WAGNER;Spain;Unión, Progreso y Democracia;Non-attached Members;01.07.2014;19 10 2014;1;2;2
Mara BIZZOTTO;Italy;Lega Nord;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;3
Ramon TREMOSA i BALCELLS;Spain;Partit Demòcrata Europeu i Català;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Georges BACH;Luxembourg;Parti chrétien social luxembourgeois;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Michel DANTIN;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Vicky MAEIJER;Netherlands;Partij voor de Vrijheid;Non-attached Members;01.07.2014;15 03 2017;2;1;2
Andrey KOVATCHEV;Bulgaria;Citizens for European Development of Bulgaria;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Eva MAYDELL;Bulgaria;Citizens for European Development of Bulgaria;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;4;4;4
Tim AKER;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Constance LE GRIP;France;Les Républicains;Non-attached Members;01.07.2014;30 11 2017;1;2;2
Ildikó GÁLL-PELCZ;Hungary;Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt;Non-attached Members;01.07.2014;31 08 2017;1;2;2
Béla KOVÁCS;Hungary;-;Non-attached Members;01.07.2014;31 12 2019;5;1;1
Keith TAYLOR;United Kingdom;Green Party;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Auke ZIJLSTRA;Netherlands;Partij voor de Vrijheid;Europe of Nations and Freedom Group;01.09.2015;31 12 2019;0;0;0
Terry REINTKE;Germany;Bündnis 90/Die Grünen;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;1;2;1
Sergio GUTIÉRREZ PRIETO;Spain;Partido Socialista Obrero Español;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Virginie ROZIÈRE;France;Les radicaux de Gauche;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Julia REID;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Heinz K. BECKER;Austria;Österreichische Volkspartei;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Andrey NOVAKOV;Bulgaria;Citizens for European Development of Bulgaria;Group of the European People's Party (Christian Democrats);24.11.2014;31 12 2019;0;0;0
Sampo TERHO;Finland;Perussuomalaiset;Non-attached Members;01.07.2014;26 04 2015;2;2;2
Franck PROUST;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
