FullName;title;Photo;birthdate;birthplace;Gender
Olle LUDVIGSSON;NA;https://www.europarl.europa.eu/mepphoto/96673.jpg;28.10.1948;Hälsö;M
Anna Maria CORAZZA BILDT;NA;https://www.europarl.europa.eu/mepphoto/96674.jpg;10.03.1963;Rom;F
Isabella LÖVIN;NA;https://www.europarl.europa.eu/mepphoto/96675.jpg;03.02.1963;Helsingborg;F
Cecilia WIKSTRÖM;NA;https://www.europarl.europa.eu/mepphoto/96677.jpg;17.10.1965;Svanstein;F
Zigmantas BALČYTIS;NA;https://www.europarl.europa.eu/mepphoto/96680.jpg;16.11.1953;Šilutė;M
Vilija BLINKEVIČIŪTĖ;NA;https://www.europarl.europa.eu/mepphoto/96681.jpg;03.03.1960;Linkuva;F
Liisa JAAKONSAARI;NA;https://www.europarl.europa.eu/mepphoto/96684.jpg;02.09.1945;Oulu;F
Rolandas PAKSAS;NA;https://www.europarl.europa.eu/mepphoto/96694.jpg;10.06.1956;Telšiai;M
Algirdas SAUDARGAS;NA;https://www.europarl.europa.eu/mepphoto/96696.jpg;17.04.1948;Kaunas;M
Waldemar TOMASZEWSKI;NA;https://www.europarl.europa.eu/mepphoto/96697.jpg;03.03.1965;Vilnius;M
Viktor USPASKICH;NA;https://www.europarl.europa.eu/mepphoto/96698.jpg;24.07.1959;Vilnius;M
Bendt BENDTSEN;NA;https://www.europarl.europa.eu/mepphoto/96705.jpg;25.03.1954;Odense;M
João FERREIRA;NA;https://www.europarl.europa.eu/mepphoto/96706.jpg;20.11.1978;Lisboa;M
Morten LØKKEGAARD;NA;https://www.europarl.europa.eu/mepphoto/96709.jpg;20.12.1964;Helsingør;M
Jens ROHDE;NA;https://www.europarl.europa.eu/mepphoto/96710.jpg;18.04.1970;Holstebro;M
Evžen TOŠENOVSKÝ;NA;https://www.europarl.europa.eu/mepphoto/96713.jpg;26.02.1956;Ostrava;M
Pavel POC;NA;https://www.europarl.europa.eu/mepphoto/96715.jpg;26.05.1964;Havlíčkův Brod;M
Olga SEHNALOVÁ;NA;https://www.europarl.europa.eu/mepphoto/96718.jpg;25.10.1968;Kromĕříž;F
Bas EICKHOUT;NA;https://www.europarl.europa.eu/mepphoto/96725.jpg;08.10.1976;NA;M
Barbara LOCHBIHLER;NA;https://www.europarl.europa.eu/mepphoto/96728.jpg;20.05.1959;Obergünzburg;F
Santiago FISAS AYXELÀ;NA;https://www.europarl.europa.eu/mepphoto/96729.jpg;29.08.1948;Barcelona;M
Sven GIEGOLD;NA;https://www.europarl.europa.eu/mepphoto/96730.jpg;17.11.1969;Las Palmas;M
Ska KELLER;NA;https://www.europarl.europa.eu/mepphoto/96734.jpg;22.11.1981;W.-P.-St. Guben;F
Patrick LE HYARIC;NA;https://www.europarl.europa.eu/mepphoto/96735.jpg;04.02.1957;Orléans;M
Jan Philipp ALBRECHT;NA;https://www.europarl.europa.eu/mepphoto/96736.jpg;20.12.1982;Braunschweig;M
Reinhard BÜTIKOFER;NA;https://www.europarl.europa.eu/mepphoto/96739.jpg;26.01.1953;Mannheim;M
Yannick JADOT;NA;https://www.europarl.europa.eu/mepphoto/96740.jpg;27.07.1967;Clacy et Thierret;M
Jean-Luc MÉLENCHON;NA;https://www.europarl.europa.eu/mepphoto/96742.jpg;19.08.1951;Tanger;M
Michèle RIVASI;NA;https://www.europarl.europa.eu/mepphoto/96743.jpg;09.02.1953;Montélimar;F
José BOVÉ;NA;https://www.europarl.europa.eu/mepphoto/96744.jpg;11.06.1953;Talence;M
Arnaud DANJEAN;NA;https://www.europarl.europa.eu/mepphoto/96747.jpg;11.02.1971;Louhans;M
Dennis de JONG;NA;https://www.europarl.europa.eu/mepphoto/96748.jpg;22.05.1955;NA;M
Martin HÄUSLING;NA;https://www.europarl.europa.eu/mepphoto/96752.jpg;26.03.1961;Bad Wildungen;M
Wim van de CAMP;NA;https://www.europarl.europa.eu/mepphoto/96754.jpg;27.07.1953;Oss;M
Sabine VERHEYEN;NA;https://www.europarl.europa.eu/mepphoto/96756.jpg;24.10.1964;NA;F
Axel VOSS;NA;https://www.europarl.europa.eu/mepphoto/96761.jpg;07.04.1963;Hameln;M
Joachim ZELLER;NA;https://www.europarl.europa.eu/mepphoto/96762.jpg;01.07.1952;Oppeln;M
Pablo ZALBA BIDEGAIN;NA;https://www.europarl.europa.eu/mepphoto/96763.jpg;28.01.1975;Pamplona;M
Hermann WINKLER;NA;https://www.europarl.europa.eu/mepphoto/96764.jpg;22.04.1963;Grimma;M
Verónica LOPE FONTAGNÉ;NA;https://www.europarl.europa.eu/mepphoto/96765.jpg;01.02.1952;Caudéran;F
Werner KUHN;NA;https://www.europarl.europa.eu/mepphoto/96767.jpg;19.05.1955;Zingst;M
Enrique GUERRERO SALOM;NA;https://www.europarl.europa.eu/mepphoto/96768.jpg;28.08.1948;Carcaixent;M
Jarosław KALINOWSKI;NA;https://www.europarl.europa.eu/mepphoto/96771.jpg;12.04.1962;Wyszków;M
Peter JAHR;NA;https://www.europarl.europa.eu/mepphoto/96772.jpg;24.04.1959;Burgstädt;M
Jarosław WAŁĘSA;NA;https://www.europarl.europa.eu/mepphoto/96774.jpg;13.09.1976;Gdańsk;M
Lara COMI;NA;https://www.europarl.europa.eu/mepphoto/96775.jpg;18.02.1983;Garbagnate Milanese;F
Róża THUN UND HOHENSTEIN;NA;https://www.europarl.europa.eu/mepphoto/96776.jpg;13.04.1954;Kraków;F
Danuta Maria HÜBNER;NA;https://www.europarl.europa.eu/mepphoto/96779.jpg;08.04.1948;Nisko;F
Monika HOHLMEIER;NA;https://www.europarl.europa.eu/mepphoto/96780.jpg;02.07.1962;München;F
Danuta JAZŁOWIECKA;NA;https://www.europarl.europa.eu/mepphoto/96781.jpg;19.05.1957;Opole;F
Janusz ZEMKE;NA;https://www.europarl.europa.eu/mepphoto/96784.jpg;24.02.1949;Kowalewo;M
Herbert DORFMANN;NA;https://www.europarl.europa.eu/mepphoto/96787.jpg;04.03.1969;Brixen;M
Marek Józef GRÓBARCZYK;NA;https://www.europarl.europa.eu/mepphoto/96790.jpg;13.03.1968;Nowy Sącz;M
Elżbieta Katarzyna ŁUKACIJEWSKA;NA;https://www.europarl.europa.eu/mepphoto/96791.jpg;25.11.1966;Jasło;F
Ryszard Antoni LEGUTKO;NA;https://www.europarl.europa.eu/mepphoto/96796.jpg;24.12.1949;Kraków;M
Tomasz Piotr PORĘBA;NA;https://www.europarl.europa.eu/mepphoto/96801.jpg;31.03.1973;Grybów;M
Paul NUTTALL;NA;https://www.europarl.europa.eu/mepphoto/96805.jpg;30.11.1976;Liverpool;M
Teresa JIMÉNEZ-BECERRIL BARRIO;NA;https://www.europarl.europa.eu/mepphoto/96806.jpg;24.07.1961;Sevilla;F
Peter van DALEN;NA;https://www.europarl.europa.eu/mepphoto/96809.jpg;03.09.1958;Zwijndrecht;M
Rosa ESTARÀS FERRAGUT;NA;https://www.europarl.europa.eu/mepphoto/96811.jpg;21.10.1965;NA;F
Juan Fernando LÓPEZ AGUILAR;NA;https://www.europarl.europa.eu/mepphoto/96812.jpg;10.06.1961;NA;M
Barbara MATERA;NA;https://www.europarl.europa.eu/mepphoto/96813.jpg;09.12.1981;Foggia;F
Judith SARGENTINI;NA;https://www.europarl.europa.eu/mepphoto/96815.jpg;13.03.1974;Amsterdam;F
Giovanni LA VIA;NA;https://www.europarl.europa.eu/mepphoto/96816.jpg;28.06.1963;NA;M
Marisa MATIAS;NA;https://www.europarl.europa.eu/mepphoto/96820.jpg;20.02.1976;Coimbra;F
Monica MACOVEI;NA;https://www.europarl.europa.eu/mepphoto/96824.jpg;04.02.1959;Bucureşti;F
Norica NICOLAI;NA;https://www.europarl.europa.eu/mepphoto/96825.jpg;27.01.1958;Sinaia;F
Tamás DEUTSCH;NA;https://www.europarl.europa.eu/mepphoto/96826.jpg;27.07.1966;Budapest;M
Ádám KÓSA;NA;https://www.europarl.europa.eu/mepphoto/96829.jpg;01.07.1975;Budapest;M
Jutta STEINRUCK;NA;https://www.europarl.europa.eu/mepphoto/96831.jpg;01.09.1962;Ludwigshafen;F
Jens GEIER;NA;https://www.europarl.europa.eu/mepphoto/96833.jpg;22.06.1961;NA;M
Traian UNGUREANU;NA;https://www.europarl.europa.eu/mepphoto/96835.jpg;01.03.1958;Bucureşti;M
Peter SIMON;NA;https://www.europarl.europa.eu/mepphoto/96836.jpg;04.04.1967;Mannheim;M
Petra KAMMEREVERT;NA;https://www.europarl.europa.eu/mepphoto/96837.jpg;01.06.1966;Duisburg;F
Cristian Dan PREDA;NA;https://www.europarl.europa.eu/mepphoto/96838.jpg;26.10.1966;Bucureşti;M
Kerstin WESTPHAL;NA;https://www.europarl.europa.eu/mepphoto/96839.jpg;11.09.1962;Hamburg;F
Knut FLECKENSTEIN;NA;https://www.europarl.europa.eu/mepphoto/96840.jpg;20.12.1953;Bad Nauheim;M
Ismail ERTUG;NA;https://www.europarl.europa.eu/mepphoto/96842.jpg;05.12.1975;Amberg;M
Norbert NEUSER;NA;https://www.europarl.europa.eu/mepphoto/96844.jpg;22.03.1949;Boppard;M
Claudiu Ciprian TĂNĂSESCU;NA;https://www.europarl.europa.eu/mepphoto/96847.jpg;19.07.1965;Bucureşti;M
Mariya GABRIEL;NA;https://www.europarl.europa.eu/mepphoto/96848.jpg;20.05.1979;Gotse Delchev;F
Alain CADEC;NA;https://www.europarl.europa.eu/mepphoto/96849.jpg;21.06.1953;Saint-Brieuc;M
Thomas HÄNDEL;NA;https://www.europarl.europa.eu/mepphoto/96851.jpg;27.08.1953;Nürnberg;M
Cornelia ERNST;NA;https://www.europarl.europa.eu/mepphoto/96852.jpg;30.11.1956;Bad Saarow;F
Sabine LÖSING;NA;https://www.europarl.europa.eu/mepphoto/96854.jpg;30.11.1955;Göttingen;F
Cătălin Sorin IVAN;NA;https://www.europarl.europa.eu/mepphoto/96857.jpg;23.12.1978;Galaţi;M
Marie-Christine VERGIAT;NA;https://www.europarl.europa.eu/mepphoto/96858.jpg;23.09.1956;Roanne;F
David Maria SASSOLI;NA;https://www.europarl.europa.eu/mepphoto/96864.jpg;30.05.1956;Firenze;M
Karima DELLI;NA;https://www.europarl.europa.eu/mepphoto/96868.jpg;04.03.1979;Roubaix;F
Gesine MEISSNER;NA;https://www.europarl.europa.eu/mepphoto/96870.jpg;22.02.1952;Uelzen;F
Michael THEURER;NA;https://www.europarl.europa.eu/mepphoto/96871.jpg;12.01.1967;Tübingen;M
Nadja HIRSCH;NA;https://www.europarl.europa.eu/mepphoto/96872.jpg;13.07.1978;München;F
Frank ENGEL;NA;https://www.europarl.europa.eu/mepphoto/96876.jpg;10.05.1975;Luxembourg;M
Zoltán BALCZÓ;NA;https://www.europarl.europa.eu/mepphoto/96877.jpg;24.03.1948;Nyíregyháza;M
Andrea COZZOLINO;NA;https://www.europarl.europa.eu/mepphoto/96880.jpg;03.08.1962;Napoli;M
Elisabeth KÖSTINGER;NA;https://www.europarl.europa.eu/mepphoto/96882.jpg;22.11.1978;Wolfsberg;F
Eva JOLY;NA;https://www.europarl.europa.eu/mepphoto/96883.jpg;05.12.1943;Oslo;F
Philippe JUVIN;NA;https://www.europarl.europa.eu/mepphoto/96884.jpg;01.02.1964;NA;M
Dominique RIQUET;NA;https://www.europarl.europa.eu/mepphoto/96885.jpg;18.09.1946;Valenciennes;M
Paolo DE CASTRO;NA;https://www.europarl.europa.eu/mepphoto/96891.jpg;02.02.1958;S. Pietro Vernotico;M
Roberto GUALTIERI;NA;https://www.europarl.europa.eu/mepphoto/96892.jpg;19.07.1966;Roma;M
John Stuart AGNEW;NA;https://www.europarl.europa.eu/mepphoto/96897.jpg;30.08.1949;Norwich;M
José Manuel FERNANDES;NA;https://www.europarl.europa.eu/mepphoto/96899.jpg;26.07.1967;Vila Verde;M
Krišjānis KARIŅŠ;NA;https://www.europarl.europa.eu/mepphoto/96901.jpg;13.12.1964;Wilmington;M
Paulo RANGEL;NA;https://www.europarl.europa.eu/mepphoto/96903.jpg;18.02.1968;NA;M
Takis HADJIGEORGIOU;NA;https://www.europarl.europa.eu/mepphoto/96907.jpg;11.12.1956;Pafos;M
Tanja FAJON;NA;https://www.europarl.europa.eu/mepphoto/96911.jpg;09.05.1971;Ljubljana;F
David CAMPBELL BANNERMAN;NA;https://www.europarl.europa.eu/mepphoto/96912.jpg;28.05.1960;Bombay (India);M
Sergio Gaetano COFFERATI;NA;https://www.europarl.europa.eu/mepphoto/96915.jpg;30.01.1948;Sesto ed Uniti (Cremona);M
Silvia COSTA;NA;https://www.europarl.europa.eu/mepphoto/96917.jpg;12.06.1949;Firenze;F
Derek VAUGHAN;NA;https://www.europarl.europa.eu/mepphoto/96918.jpg;02.05.1961;Merthyr;M
Emma McCLARKIN;NA;https://www.europarl.europa.eu/mepphoto/96919.jpg;09.10.1978;Stroud;F
Kay SWINBURNE;NA;https://www.europarl.europa.eu/mepphoto/96920.jpg;08.06.1967;NA;F
Izaskun BILBAO BARANDICA;NA;https://www.europarl.europa.eu/mepphoto/96922.jpg;27.03.1961;Bermeo;F
Maurice PONGA;NA;https://www.europarl.europa.eu/mepphoto/96931.jpg;05.06.1947;Kouaoua (Nouvelle-Calédonie);M
Birgit SIPPEL;NA;https://www.europarl.europa.eu/mepphoto/96932.jpg;29.01.1960;Bochum;F
Milan ZVER;NA;https://www.europarl.europa.eu/mepphoto/96933.jpg;25.05.1962;Ljubljana;M
Sandra KALNIETE;NA;https://www.europarl.europa.eu/mepphoto/96934.jpg;22.12.1952;NA;F
Gabriel MATO;NA;https://www.europarl.europa.eu/mepphoto/96936.jpg;29.04.1961;Madrid;M
Johannes Cornelis van BAALEN;NA;https://www.europarl.europa.eu/mepphoto/96937.jpg;17.06.1960;Rotterdam;M
Gerben-Jan GERBRANDY;NA;https://www.europarl.europa.eu/mepphoto/96940.jpg;28.06.1967;Den Haag;M
Marietje SCHAAKE;NA;https://www.europarl.europa.eu/mepphoto/96945.jpg;28.10.1978;Leiden;F
Gilles PARGNEAUX;NA;https://www.europarl.europa.eu/mepphoto/96948.jpg;24.03.1957;Harcigny;M
Vicky FORD;NA;https://www.europarl.europa.eu/mepphoto/96949.jpg;21.09.1967;Omagh;F
Diane DODDS;NA;https://www.europarl.europa.eu/mepphoto/96951.jpg;16.08.1958;Banbridge;F
Sylvie GUILLAUME;NA;https://www.europarl.europa.eu/mepphoto/96952.jpg;11.06.1962;Antony;F
Catherine BEARDER;NA;https://www.europarl.europa.eu/mepphoto/96955.jpg;14.01.1949;Broxbourne;F
Julie GIRLING;NA;https://www.europarl.europa.eu/mepphoto/96956.jpg;21.12.1956;London;F
Ashley FOX;NA;https://www.europarl.europa.eu/mepphoto/96957.jpg;15.11.1969;Sutton Coldfield;M
William (The Earl of) DARTMOUTH;(The Earl of);https://www.europarl.europa.eu/mepphoto/96958.jpg;23.09.1949;NA;M
Nuno MELO;NA;https://www.europarl.europa.eu/mepphoto/96978.jpg;18.03.1966;Joane;M
Franz OBERMAYR;NA;https://www.europarl.europa.eu/mepphoto/96981.jpg;25.05.1952;NA;M
Eider GARDIAZABAL RUBIAL;NA;https://www.europarl.europa.eu/mepphoto/96991.jpg;12.07.1975;Bilbao;F
Lorenzo FONTANA;NA;https://www.europarl.europa.eu/mepphoto/96993.jpg;10.04.1980;Verona;M
Giancarlo SCOTTÀ;NA;https://www.europarl.europa.eu/mepphoto/96996.jpg;11.04.1953;Vittorio Veneto;M
Burkhard BALZ;NA;https://www.europarl.europa.eu/mepphoto/96997.jpg;24.07.1969;Lemgo;M
Evelyn REGNER;NA;https://www.europarl.europa.eu/mepphoto/96998.jpg;24.01.1966;Wien;F
Karin KADENBACH;NA;https://www.europarl.europa.eu/mepphoto/97014.jpg;19.04.1958;Wien;F
Ulrike LUNACEK;NA;https://www.europarl.europa.eu/mepphoto/97017.jpg;26.05.1957;Krems a.d. Donau;F
Ivo VAJGL;NA;https://www.europarl.europa.eu/mepphoto/97019.jpg;03.03.1943;Maribor;M
Robert ROCHEFORT;NA;https://www.europarl.europa.eu/mepphoto/97022.jpg;19.09.1955;NA;M
Ivari PADAR;NA;https://www.europarl.europa.eu/mepphoto/97025.jpg;12.03.1965;NA;M
Guy VERHOFSTADT;NA;https://www.europarl.europa.eu/mepphoto/97058.jpg;11.04.1953;Dendermonde;M
Ramón JÁUREGUI ATONDO;NA;https://www.europarl.europa.eu/mepphoto/97078.jpg;01.09.1948;San Sebastian;M
Indrek TARAND;NA;https://www.europarl.europa.eu/mepphoto/97136.jpg;03.02.1964;Tallinn;M
Sylvie GOULARD;NA;https://www.europarl.europa.eu/mepphoto/97137.jpg;06.12.1964;Marseille;F
Francisco SOSA WAGNER;NA;https://www.europarl.europa.eu/mepphoto/97170.jpg;10.06.1946;Alhucemas;M
Mara BIZZOTTO;NA;https://www.europarl.europa.eu/mepphoto/97198.jpg;03.06.1972;Bassano del Grappa (VI);F
Ramon TREMOSA i BALCELLS;NA;https://www.europarl.europa.eu/mepphoto/97203.jpg;30.06.1965;Barcelona;M
Georges BACH;NA;https://www.europarl.europa.eu/mepphoto/97293.jpg;12.06.1955;Luxembourg;M
Michel DANTIN;NA;https://www.europarl.europa.eu/mepphoto/97296.jpg;15.01.1960;Lyon;M
Vicky MAEIJER;NA;https://www.europarl.europa.eu/mepphoto/97513.jpg;07.09.1986;Rotterdam;F
Andrey KOVATCHEV;NA;https://www.europarl.europa.eu/mepphoto/97968.jpg;13.12.1967;Sofia;M
Eva MAYDELL;NA;https://www.europarl.europa.eu/mepphoto/98341.jpg;26.01.1986;Sofia;F
Tim AKER;NA;https://www.europarl.europa.eu/mepphoto/99650.jpg;23.05.1985;Orsett;M
Constance LE GRIP;NA;https://www.europarl.europa.eu/mepphoto/101580.jpg;14.11.1960;Chatou;F
Ildikó GÁLL-PELCZ;NA;https://www.europarl.europa.eu/mepphoto/102886.jpg;02.05.1962;Szikszó;F
Béla KOVÁCS;NA;https://www.europarl.europa.eu/mepphoto/102887.jpg;25.02.1960;Budapest;M
Keith TAYLOR;NA;https://www.europarl.europa.eu/mepphoto/102931.jpg;01.08.1953;Rochford;M
Auke ZIJLSTRA;NA;https://www.europarl.europa.eu/mepphoto/103246.jpg;01.11.1964;Haskerland;M
Terry REINTKE;NA;https://www.europarl.europa.eu/mepphoto/103381.jpg;09.05.1987;Gelsenkirchen;F
Sergio GUTIÉRREZ PRIETO;NA;https://www.europarl.europa.eu/mepphoto/103488.jpg;11.07.1982;Escalona (Toledo);M
Virginie ROZIÈRE;NA;https://www.europarl.europa.eu/mepphoto/103845.jpg;18.06.1976;Montpelllier;F
Julia REID;NA;https://www.europarl.europa.eu/mepphoto/106202.jpg;16.07.1952;London;F
Heinz K. BECKER;NA;https://www.europarl.europa.eu/mepphoto/107041.jpg;29.06.1950;Baden bei Wien;M
Andrey NOVAKOV;NA;https://www.europarl.europa.eu/mepphoto/107212.jpg;07.07.1988;PAZARDZHIK;M
Sampo TERHO;NA;https://www.europarl.europa.eu/mepphoto/107385.jpg;20.09.1977;Helsinki;M
Franck PROUST;NA;https://www.europarl.europa.eu/mepphoto/108080.jpg;02.05.1963;Poitiers;M
Philippe DE BACKER;NA;https://www.europarl.europa.eu/mepphoto/109337.jpg;04.12.1978;Ekeren;M
Florian PHILIPPOT;NA;https://www.europarl.europa.eu/mepphoto/110977.jpg;24.10.1981;Croix;M
Anthea McINTYRE;NA;https://www.europarl.europa.eu/mepphoto/111011.jpg;29.06.1954;London;F
Josef WEIDENHOLZER;NA;https://www.europarl.europa.eu/mepphoto/111014.jpg;06.03.1950;St. Florian am Inn;M
Jens NILSSON;NA;https://www.europarl.europa.eu/mepphoto/111024.jpg;25.09.1948;Västervik;M
Svetoslav Hristov MALINOV;NA;https://www.europarl.europa.eu/mepphoto/111027.jpg;19.01.1968;Dupnitsa;M
Kārlis ŠADURSKIS;NA;https://www.europarl.europa.eu/mepphoto/111033.jpg;11.10.1959;Rīga;M
Petri SARVAMAA;NA;https://www.europarl.europa.eu/mepphoto/112611.jpg;15.09.1960;NA;M
Tonino PICULA;NA;https://www.europarl.europa.eu/mepphoto/112744.jpg;31.08.1961;Mali Lošinj;M
Biljana BORZAN;NA;https://www.europarl.europa.eu/mepphoto/112748.jpg;29.11.1971;Osijek;F
Jozo RADOŠ;NA;https://www.europarl.europa.eu/mepphoto/112753.jpg;03.11.1956;Seonica (Bosna i Hercegovina);M
Andrej PLENKOVIĆ;NA;https://www.europarl.europa.eu/mepphoto/112755.jpg;08.04.1970;Zagreb;M
Birgit COLLIN-LANGEN;NA;https://www.europarl.europa.eu/mepphoto/112788.jpg;04.09.1956;Trier;F
Eric ANDRIEU;NA;https://www.europarl.europa.eu/mepphoto/113892.jpg;14.04.1960;Narbonne;M
Martina ANDERSON;NA;https://www.europarl.europa.eu/mepphoto/113959.jpg;16.04.1962;NA;F
Nils TORVALDS;NA;https://www.europarl.europa.eu/mepphoto/114268.jpg;07.08.1945;Ekenäs;M
Isabelle THOMAS;NA;https://www.europarl.europa.eu/mepphoto/114279.jpg;26.11.1961;Blanc-Mesnil;F
Mark DEMESMAEKER;NA;https://www.europarl.europa.eu/mepphoto/117477.jpg;12.09.1958;NA;M
Anneleen VAN BOSSUYT;NA;https://www.europarl.europa.eu/mepphoto/117491.jpg;10.01.1980;Gent;F
Brian HAYES;NA;https://www.europarl.europa.eu/mepphoto/118658.jpg;23.08.1969;Dublin;M
Marlene MIZZI;NA;https://www.europarl.europa.eu/mepphoto/118858.jpg;24.12.1954;Rabat;F
Roberta METSOLA;NA;https://www.europarl.europa.eu/mepphoto/118859.jpg;18.01.1979;St Julians;F
Ruža TOMAŠIĆ;NA;https://www.europarl.europa.eu/mepphoto/119431.jpg;10.05.1958;Mladoševica;F
Dubravka ŠUICA;NA;https://www.europarl.europa.eu/mepphoto/119434.jpg;20.05.1957;Dubrovnik;F
Davor Ivo STIER;NA;https://www.europarl.europa.eu/mepphoto/119435.jpg;06.01.1972;Buenos Aires;M
Ivana MALETIĆ;NA;https://www.europarl.europa.eu/mepphoto/119436.jpg;12.10.1973;Šibenik;F
Martina MICHELS;NA;https://www.europarl.europa.eu/mepphoto/120478.jpg;01.12.1955;Berlin;F
Rina Ronja KARI;NA;https://www.europarl.europa.eu/mepphoto/122885.jpg;15.02.1985;København;F
Christine REVAULT D'ALLONNES BONNEFOY;NA;https://www.europarl.europa.eu/mepphoto/124287.jpg;10.11.1971;Châteauroux;F
Christos STYLIANIDES;NA;https://www.europarl.europa.eu/mepphoto/124688.jpg;26.06.1958;Nicosia;M
Neoklis SYLIKIOTIS;NA;https://www.europarl.europa.eu/mepphoto/124689.jpg;24.01.1959;Lemesos;M
Costas MAVRIDES;NA;https://www.europarl.europa.eu/mepphoto/124691.jpg;27.05.1962;Kato Dhikomo;M
Demetris PAPADAKIS;NA;https://www.europarl.europa.eu/mepphoto/124692.jpg;22.08.1966;Ammochostos;M
Pascal DURAND;NA;https://www.europarl.europa.eu/mepphoto/124693.jpg;03.10.1960;Montreuil-Sous-Bois;M
Jan KELLER;NA;https://www.europarl.europa.eu/mepphoto/124695.jpg;23.01.1955;Frýdek-Místek;M
Andrus ANSIP;NA;https://www.europarl.europa.eu/mepphoto/124696.jpg;01.10.1956;NA;M
Kaja KALLAS;NA;https://www.europarl.europa.eu/mepphoto/124697.jpg;18.06.1977;Tallinn;F
Marju LAURISTIN;NA;https://www.europarl.europa.eu/mepphoto/124698.jpg;07.04.1940;Tallinn;F
Miroslav POCHE;NA;https://www.europarl.europa.eu/mepphoto/124699.jpg;03.06.1978;Chlumec nad Cidlinou;M
Jana TOOM;NA;https://www.europarl.europa.eu/mepphoto/124700.jpg;15.10.1966;Tallinn;F
Luděk NIEDERMAYER;NA;https://www.europarl.europa.eu/mepphoto/124701.jpg;13.03.1966;Brno;M
Jaromír ŠTĚTINA;NA;https://www.europarl.europa.eu/mepphoto/124702.jpg;06.04.1943;Praha;M
Tibor SZANYI;NA;https://www.europarl.europa.eu/mepphoto/124703.jpg;13.07.1956;Budapest;M
Stanislav POLČÁK;NA;https://www.europarl.europa.eu/mepphoto/124704.jpg;21.02.1980;Slavičín;M
István UJHELYI;NA;https://www.europarl.europa.eu/mepphoto/124705.jpg;28.02.1975;NA;M
Pavel TELIČKA;NA;https://www.europarl.europa.eu/mepphoto/124706.jpg;24.08.1965;Washington DC;M
Petr JEŽEK;NA;https://www.europarl.europa.eu/mepphoto/124707.jpg;28.03.1965;Praha;M
Dita CHARANZOVÁ;NA;https://www.europarl.europa.eu/mepphoto/124708.jpg;30.04.1975;Praha;F
Martina DLABAJOVÁ;NA;https://www.europarl.europa.eu/mepphoto/124709.jpg;26.07.1976;Zlín;F
Michaela ŠOJDROVÁ;NA;https://www.europarl.europa.eu/mepphoto/124710.jpg;28.10.1963;Zlín;F
Norbert ERDŐS;NA;https://www.europarl.europa.eu/mepphoto/124711.jpg;25.10.1972;Orosháza;M
Andrea BOCSKOR;NA;https://www.europarl.europa.eu/mepphoto/124712.jpg;11.08.1978;NA;F
Tomáš ZDECHOVSKÝ;NA;https://www.europarl.europa.eu/mepphoto/124713.jpg;02.11.1979;Havlíčkův Brod;M
Andor DELI;NA;https://www.europarl.europa.eu/mepphoto/124714.jpg;02.05.1977;Óbecse (Szerbia);M
György HÖLVÉNYI;NA;https://www.europarl.europa.eu/mepphoto/124715.jpg;13.06.1962;NA;M
Tamás MESZERICS;NA;https://www.europarl.europa.eu/mepphoto/124720.jpg;04.12.1964;Győr;M
Benedek JÁVOR;NA;https://www.europarl.europa.eu/mepphoto/124721.jpg;02.07.1972;Budapest;M
Csaba MOLNÁR;NA;https://www.europarl.europa.eu/mepphoto/124722.jpg;04.12.1975;Csorna;M
Péter NIEDERMÜLLER;NA;https://www.europarl.europa.eu/mepphoto/124723.jpg;03.09.1952;Budapest;M
Louis-Joseph MANSCOUR;NA;https://www.europarl.europa.eu/mepphoto/124725.jpg;20.03.1945;La Trinité (Martinique);M
Henna VIRKKUNEN;NA;https://www.europarl.europa.eu/mepphoto/124726.jpg;04.06.1972;Joutsa;F
Jussi HALLA-AHO;NA;https://www.europarl.europa.eu/mepphoto/124727.jpg;27.04.1971;Tampere;M
Marc JOULAUD;NA;https://www.europarl.europa.eu/mepphoto/124728.jpg;03.09.1967;Mayenne;M
Renaud MUSELIER;NA;https://www.europarl.europa.eu/mepphoto/124729.jpg;06.05.1959;Marseille;M
Fernando RUAS;NA;https://www.europarl.europa.eu/mepphoto/124730.jpg;15.01.1949;Viseu;M
Jérôme LAVRILLEUX;NA;https://www.europarl.europa.eu/mepphoto/124731.jpg;19.09.1969;Saint-Quentin;M
Angélique DELAHAYE;NA;https://www.europarl.europa.eu/mepphoto/124732.jpg;22.02.1963;Lyon;F
Sofia RIBEIRO;NA;https://www.europarl.europa.eu/mepphoto/124733.jpg;17.07.1976;NA;F
Cláudia MONTEIRO DE AGUIAR;NA;https://www.europarl.europa.eu/mepphoto/124734.jpg;08.04.1982;Funchal;F
Miapetra KUMPULA-NATRI;NA;https://www.europarl.europa.eu/mepphoto/124735.jpg;19.05.1972;Vaasa;F
Merja KYLLÖNEN;NA;https://www.europarl.europa.eu/mepphoto/124736.jpg;25.01.1977;Suomussalmi;F
Maria João RODRIGUES;NA;https://www.europarl.europa.eu/mepphoto/124737.jpg;25.09.1955;Lisboa;F
Gilles LEBRETON;NA;https://www.europarl.europa.eu/mepphoto/124738.jpg;11.10.1958;Brest;M
Carlos ZORRINHO;NA;https://www.europarl.europa.eu/mepphoto/124739.jpg;28.05.1959;Óbidos;M
Joëlle BERGERON;NA;https://www.europarl.europa.eu/mepphoto/124740.jpg;28.06.1949;Charlieu;F
